Question,Answer
¿PUEDO HACER UN INTERCAMBIO DE ESTUDIOS EN LA UNIVERSIDAD DE VALLADOLID?,"Debes comprobar que existe un convenio de intercambio entre nuestras universidades. Para ello ponte en contacto con <a href=""mailto:incoming@uva.es"" rel=""noopener"" target=""_blank"">incoming@uva.es</a>Si no existe convenio entre nuestras universidades, siempre podrás venir como <a href=""http://relint.uva.es/internacional/estudiantes/visitantes/"" rel=""noopener"" target=""_blank"" title=""Estudiante Visitante"">Estudiante Visitante</a>."
¿QUÉ ASIGNATURAS PUEDO ESTUDIAR EN LA UNIVERSIDAD DE VALLADOLID?,"Puedes escoger las asignaturas que quieras, de cualquier curso o año académico, incluso de varios planes de estudios y diversas facultades a la vez. Eso sí, tus profesores responsables deben aceptarlo al firmar tu contrato de estudios o Learning Agreement.En cualquier caso, siempre deberás escoger al menos una asignatura de la facultad de la Universidad de Valladolid que hayas elegido."
¿PUEDO ESCOGER ASIGNATURAS DE CUALQUIER CUATRIMESTRE O SEMESTRE?,"No, solo puedes escoger asignaturas que se enseñen durante el tiempo que estés en nuestra universidad.Si estás entre septiembre y febrero, podrás escoger asignaturas del primer cuatrimestre o semestre.Si estás entre febrero y junio, podrás escoger asignaturas del segundo cuatrimestre o semestre.Si estás desde septiembre a junio podrás escoger cualquier asignatura, incluso anuales."
¿PUEDO ESCOGER ASIGNATURAS ANUALES SI ESTUDIO EN LA UVA POR UN CUATRIMESTRE O SEMESTRE?,No. Las asignaturas anuales se cursan de forma continuada desde septiembre hasta junio. No está permitido seleccionarlas si únicamente vas a estar el primero o el segundo cuatrimestre.
¿PUEDO ESCOGER ASIGNATURAS DE VARIAS FACULTADES A LA VEZ?,"Sí, siempre que tus profesores responsables lo acepten al firmar tu contrato de estudios o Learning Agreement. En cualquier caso, siempre deberás escoger al menos una asignatura de la facultad de la Universidad de Valladolid que hayas elegido."
¿PUEDO ESCOGER ASIGNATURAS DE VARIOS CAMPUS A LA VEZ?,"Solamente puedes escoger asignaturas de los Campus de Valladolid y Palencia a la vez, siempre que tus profesores responsables lo acepten al firmar tu contrato de estudios o Learning Agreement. Todas las demás combinaciones de Campus están a más de 100 kilómetros de distancia."
SOY ESTUDIANTE DE MASTER. ¿PUEDO ESCOGER ASIGNATURAS DE GRADO?,"Sí, siempre que tus profesores responsables lo acepten al firmar tu contrato de estudios o Learning Agreement."
¿DÓNDE PUEDO CONSULTAR LOS PLANES DE ESTUDIOS UNIVERSIDAD DE VALLADOLID?,"Puedes ver los diferentes planes de estudios de grado <a href=""http://www.uva.es/export/sites/uva/2.docencia/2.01.grados/2.01.02.ofertaformativagrados/2.01.02.01.alfabetica/index.html"" rel=""noopener"" target=""_blank"">aquí</a>, y los de máster <a href=""http://www.uva.es/export/sites/uva/2.docencia/2.02.mastersoficiales/2.02.01.ofertaeducativa/2.02.01.01.alfabetica/index.html"" rel=""noopener"" target=""_blank"">aquí</a>. Selecciona el plan de estudios que te interese, y luego pulsa en ""Asignaturas"" para ver los cursos. "
¿DÓNDE PUEDO ENCONTRAR LOS HORARIOS Y LAS AULAS DE MIS ASIGNATURAS?,"Cada facultad de la Universidad de Valladolid tiene su propia página web donde se publican los calendarios, horarios y aulas de las asignaturas. Puedes encontrar el enlace a la web de tu centro <a href=""http://www.uva.es/export/sites/uva/2.docencia/2.01.grados/2.01.02.ofertaformativagrados/2.01.02.01.alfabetica/index.html"" rel=""noopener"" target=""_blank"" title=""Centros UVa"">aquí</a>.Selecciona el plan de estudios que te interese, y luego pulsa en ""Horarios"" para ver los horarios y aulas de tus asignaturas."
"EN ALGUNAS DE MIS ASIGNATURAS APARECEN GRUPOS, COMO 1T, 2A, 1S. ¿QUÉ QUIERE DECIR? ¿PUEDO ELEGIR EL GRUPO QUE QUIERA?","Algunas asignaturas estás divididas en grupos, pues todos los estudiantes no caben a la vez en el aula. Unas asignaturas pueden tener varios grupos de teoría, otras de prácticas, y otra de teoría y prácticas.Los estudiantes de intercambio pueden escoger libremente los grupos que más le convengan. Es decir, pueden escoger el grupo 1 de teoría en una asignatura, grupo 2 en otra, etc. Eso sí, una vez el estudiante haya elegido un grupo en una asignatura, deberá acudir siempre a ese grupo en esa asignatura."
¿CUÁL ES EL NÚMERO MÍNIMO Y MÁXIMO DE CRÉDITOS QUE PUEDO ESTUDIAR?,Podrás estudiar un máximo de 30 ECTS (European Credit Transfer and Accumulation System).No marcamos un número mínimo de créditos. En caso de que tengas que elegir un número mínimo de créditos deberá comunicártelo tu universidad.
¿CUÁNDO DEBO ENVIAR MI LEARNING AGREEMENT O PROGRAMA DE ESTUDIOS?,"Solo debes enviárnoslo si te lo pedimos, si no lo hacemos es porque todavía no lo necesitamos. Los estudiantes Erasmus+, por lo general, pueden rellenar su Learning Agreement y obtener la firma de su profesor responsable después de llegar a la Universidad de Valladolid."
NECESITO FIRMAR MI LEARNING AGREEMENT. ¿A QUIÉN SE LO ENVÍO?,Debes enviarlo directamente a tu profesor responsable en la Universidad de Valladolid.
MI PROFESOR RESPONSABLE NO CONTESTA MIS CORREOS. ¿QUIÉN PUEDE AYUDARME?,"Si tienes preguntas de tipo académico, o necesitas que firmen tu Learning Agreement, puedes contactar con el Coordinador de Relaciones Internacionales de tu facultad en la Universidad de Valladolid.Para cualquier otro tipo de pregunta, contacta con <a href=""mailto:incoming@uva.es"" rel=""noopener"" target=""_blank"">incoming@uva.es</a>"
QUIERO HACER UN GRADO/MÁSTER/DOCTORADO COMPLETO EN LA UNIVERSIDAD DE VALLADOLID. ¿DÓNDE ME PUEDO INFORMAR?,"Puedes encontrar la información en su página general <a href=""http://www.uva.es/"" rel=""noopener"" target=""_blank"" title=""http://www.uva.es/"">http://www.uva.es/</a>. El proceso de matriculación es el mismo para estudiantes españoles o de otras nacionalidades. Si tienes dudas debes ponerte en contacto con la <a href=""http://directorio.uva.es/detalle.html?id=4001004"" rel=""noopener"" target=""_blank"" title=""Sección de Gestión de Alumnos"">Sección de Gestión de Alumnos</a>."
¿EN QUÉ IDIOMAS SON LAS CLASES EN LA UNIVERSIDAD DE VALLADOLID?,"Aproximadamente el 90% de las clases son en Español. Hay también una selección de asignaturas en inglés, y cursos de otros idiomas como lenguas extranjeras."
